,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,57,25,.695,—,117.9,111.4,6.38,1991,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,1991,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1991,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1991,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1991,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1991,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1991,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1991,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1991,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1991,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1991,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1991,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1991,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1991,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1991,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1991,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1991,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1991,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1991,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1991,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1991,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1991,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1991,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1991,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1991,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1991,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1991,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1991,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1991,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1991,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,1991,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,1991,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,1991,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,1991,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,1991,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,1992,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,1992,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1992,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1992,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1992,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1992,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1992,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1992,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1992,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1992,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1992,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1992,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1992,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1992,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1992,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1992,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1992,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1992,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1992,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1992,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1992,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1992,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1992,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1992,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1992,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1992,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1992,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1992,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1992,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1992,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,1992,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,1992,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,1992,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,1992,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,1992,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,1993,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,1993,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1993,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1993,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1993,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1993,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1993,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1993,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1993,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1993,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1993,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1993,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1993,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1993,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1993,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1993,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1993,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1993,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1993,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1993,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1993,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1993,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1993,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1993,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1993,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1993,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1993,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1993,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1993,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,1993,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,1993,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,1993,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,1993,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,1993,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,1994,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,1994,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1994,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1994,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1994,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1994,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1994,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1994,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1994,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1994,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1994,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1994,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1994,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1994,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1994,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1994,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1994,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1994,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1994,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1994,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1994,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1994,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1994,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1994,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1994,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1994,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1994,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1994,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1994,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1994,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,1994,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,1994,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,1994,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,1994,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,1994,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,1995,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,1995,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1995,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1995,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1995,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1995,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1995,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1995,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1995,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1995,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1995,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1995,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1995,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1995,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1995,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1995,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1995,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1995,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1995,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1995,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1995,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1995,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1995,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1995,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1995,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1995,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1995,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1995,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1995,Los Angeles Lakers*
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1995,Southwest Division
13,51,31,.622,—,116.9,113.0,3.60,1995,Memphis Grizzlies*
14,42,40,.512,9.0,114.4,112.5,1.63,1995,New Orleans Pelicans*
15,38,44,.463,13.0,114.2,114.1,-0.14,1995,Dallas Mavericks
16,22,60,.268,29.0,110.7,118.6,-7.62,1995,Houston Rockets
17,22,60,.268,29.0,113.0,123.1,-9.82,1995,San Antonio Spurs
0,57,25,.695,—,117.9,111.4,6.38,1996,Boston Celtics*
1,54,28,.659,3.0,115.2,110.9,4.37,1996,Philadelphia 76ers*
2,47,35,.573,10.0,116.0,113.1,2.99,1996,New York Knicks*
3,45,37,.549,12.0,113.4,112.5,1.03,1996,Brooklyn Nets*
4,41,41,.500,16.0,112.9,111.4,1.59,1996,Toronto Raptors*
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1996,Central Division
6,58,24,.707,—,116.9,113.3,3.61,1996,Milwaukee Bucks*
7,51,31,.622,7.0,112.3,106.9,5.23,1996,Cleveland Cavaliers*
8,40,42,.488,18.0,113.1,111.8,1.37,1996,Chicago Bulls*
9,35,47,.427,23.0,116.3,119.5,-2.91,1996,Indiana Pacers
10,17,65,.207,41.0,110.3,118.5,-7.73,1996,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1996,Southeast Division
12,44,38,.537,—,109.5,109.8,-0.13,1996,Miami Heat*
13,41,41,.500,3.0,118.4,118.1,0.32,1996,Atlanta Hawks*
14,35,47,.427,9.0,113.2,114.4,-1.06,1996,Washington Wizards
15,34,48,.415,10.0,111.4,114.0,-2.39,1996,Orlando Magic
16,27,55,.329,17.0,111.0,117.2,-5.89,1996,Charlotte Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1996,Northwest Division
1,53,29,.646,—,115.8,112.5,3.04,1996,Denver Nuggets*
2,42,40,.512,11.0,115.8,115.8,-0.22,1996,Minnesota Timberwolves*
3,40,42,.488,13.0,117.5,116.4,0.96,1996,Oklahoma City Thunder*
4,37,45,.451,16.0,117.1,118.0,-1.03,1996,Utah Jazz
5,33,49,.402,20.0,113.4,117.4,-3.96,1996,Portland Trail Blazers
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1996,Pacific Division
7,48,34,.585,—,120.7,118.1,2.30,1996,Sacramento Kings*
8,45,37,.549,3.0,113.6,111.6,2.08,1996,Phoenix Suns*
9,44,38,.537,4.0,113.6,113.1,0.31,1996,Los Angeles Clippers*
10,44,38,.537,4.0,118.9,117.1,1.66,1996,Golden State Warriors*
11,43,39,.524,5.0,117.2,116.6,0.43,1996,Los Angeles Lakers*
